lr,bs,epochs,dropout,val_loss,val_accuracy
3e-05,16,4,0.1,0.27737852931022644,0.9266666769981384
2e-05,16,2,0.2,0.23138576745986938,0.9133333563804626
1e-05,32,2,0.2,0.2419690489768982,0.8999999761581421
3e-05,16,3,0.2,0.2577084004878998,0.9226666688919067
3e-05,8,2,0.3,0.2320077121257782,0.9026666879653931
3e-05,16,4,0.2,0.27868667244911194,0.9146666526794434
1e-05,32,2,0.3,0.2629871070384979,0.9053333401679993
3e-05,32,4,0.3,0.28044480085372925,0.9026666879653931
1e-05,32,2,0.1,0.2768859565258026,0.8973333239555359
3e-05,8,2,0.2,0.2775849401950836,0.8999999761581421
3e-05,16,3,0.2,0.2816753685474396,0.9053333401679993
1e-05,16,4,0.2,0.283394455909729,0.9146666526794434
3e-05,32,3,0.3,0.2641943693161011,0.9293333292007446
2e-05,32,4,0.3,0.2833055257797241,0.9133333563804626
1e-05,32,2,0.2,0.25417351722717285,0.9066666960716248
3e-05,32,2,0.1,0.232416570186615,0.9120000004768372
1e-05,8,4,0.1,0.2685331404209137,0.909333348274231
3e-05,16,3,0.1,0.32768911123275757,0.8973333239555359
3e-05,16,4,0.2,0.3637418746948242,0.909333348274231
3e-05,8,3,0.1,0.2614736258983612,0.9146666526794434
3e-05,32,4,0.2,0.30867695808410645,0.9079999923706055
2e-05,16,3,0.1,0.24341456592082977,0.9133333563804626
2e-05,16,3,0.3,0.24991056323051453,0.918666660785675
3e-05,16,3,0.3,0.26582592725753784,0.9120000004768372
3e-05,16,2,0.2,0.2213319092988968,0.9120000004768372
3e-05,32,2,0.2,0.23778167366981506,0.9173333048820496
2e-05,8,2,0.1,0.24644671380519867,0.9120000004768372
1e-05,8,3,0.2,0.23844486474990845,0.9160000085830688
2e-05,16,2,0.2,0.24219512939453125,0.9120000004768372
3e-05,16,3,0.3,0.25852811336517334,0.9200000166893005
3e-05,8,2,0.2,0.24900847673416138,0.9106666445732117
1e-05,32,4,0.3,0.2758738100528717,0.9200000166893005
3e-05,16,2,0.3,0.23479077219963074,0.9066666960716248
2e-05,32,3,0.1,0.23562511801719666,0.9213333129882812
2e-05,16,3,0.2,0.24684272706508636,0.9079999923706055
3e-05,8,3,0.2,0.24876780807971954,0.9173333048820496
3e-05,32,2,0.1,0.20344595611095428,0.9253333210945129
1e-05,32,4,0.1,0.2728171646595001,0.9106666445732117
1e-05,32,3,0.3,0.25878769159317017,0.8960000276565552
2e-05,16,3,0.2,0.28632208704948425,0.9106666445732117
2e-05,16,4,0.1,0.3442555367946625,0.9133333563804626
1e-05,16,3,0.2,0.2636677324771881,0.9066666960716248
1e-05,16,2,0.1,0.2626602351665497,0.8960000276565552
2e-05,8,3,0.1,0.2672879099845886,0.9213333129882812
3e-05,16,4,0.1,0.26889804005622864,0.9160000085830688
3e-05,8,3,0.3,0.2850079834461212,0.9146666526794434
3e-05,16,4,0.2,0.26723822951316833,0.9120000004768372
2e-05,16,2,0.3,0.2436709851026535,0.9039999842643738
2e-05,16,4,0.3,0.29088979959487915,0.9133333563804626
2e-05,32,2,0.3,0.2509731352329254,0.9039999842643738
1e-05,8,4,0.1,0.26466482877731323,0.9066666960716248
2e-05,8,2,0.3,0.2748637795448303,0.9133333563804626
1e-05,8,3,0.1,0.25536060333251953,0.9066666960716248
2e-05,8,2,0.3,0.2805576026439667,0.9026666879653931
3e-05,16,2,0.1,0.2414320856332779,0.9053333401679993
3e-05,32,3,0.3,0.2666652798652649,0.9106666445732117
2e-05,16,3,0.2,0.2556232810020447,0.9146666526794434
3e-05,16,4,0.1,0.34344881772994995,0.9106666445732117
1e-05,16,2,0.2,0.24558348953723907,0.9079999923706055
2e-05,32,3,0.2,0.33209630846977234,0.9066666960716248
2e-05,16,4,0.1,0.31124523282051086,0.918666660785675
2e-05,8,4,0.2,0.3315984010696411,0.9146666526794434
1e-05,32,2,0.1,0.2508677542209625,0.9079999923706055
3e-05,16,4,0.2,0.25018736720085144,0.9253333210945129
1e-05,32,3,0.3,0.25172850489616394,0.9079999923706055
1e-05,16,2,0.2,0.2539074718952179,0.9039999842643738
3e-05,8,4,0.3,0.33046773076057434,0.9160000085830688
3e-05,8,4,0.2,0.3006822168827057,0.9146666526794434
3e-05,16,3,0.3,0.24151888489723206,0.9200000166893005
2e-05,8,4,0.3,0.3495722711086273,0.9106666445732117
2e-05,32,2,0.2,0.22631388902664185,0.9213333129882812
3e-05,32,3,0.1,0.25173482298851013,0.9173333048820496
1e-05,16,3,0.2,0.2744441628456116,0.8973333239555359
1e-05,8,3,0.1,0.24566654860973358,0.909333348274231
1e-05,8,2,0.1,0.25421956181526184,0.9026666879653931
1e-05,32,4,0.2,0.2767656445503235,0.9133333563804626
1e-05,16,4,0.3,0.27448660135269165,0.9120000004768372
2e-05,32,4,0.2,0.333889365196228,0.9066666960716248
2e-05,8,2,0.1,0.23697495460510254,0.9053333401679993
3e-05,16,4,0.2,0.26749187707901,0.9160000085830688
1e-05,16,2,0.2,0.2637414336204529,0.9013333320617676
