Comment,Comment ID,Label
I enjoy when they push back.  they are star stuck,UgxgXoOhmKW3Zl8HEvx4AaABAg,0
The question would be ...why do you disagree on tuckers climate change view ...I mean it's physics....Mammoth don't freeze slowly and keep meat fresh....,UgyY9mkzA7kdTnYfWxB4AaABAg,2
Gavin appears like Mads Mikkelsen in Hannibal,Ugydf4M1rgdSlRyCH7V4AaABAg,2
First. America First.,UgzkKzZbegVrm9rOBcF4AaABAg,2
“He had a receipt and it turned out the credit card was stolen” 😂,UgxFEPIeVyUpC1Ree0B4AaABAg,2
You guys are clueless about buyers agents. They spend days looking for properties for their clients and even more time driving them from showing to showing until they find the right property.,Ugx9v_3GY9ej7m5nBVx4AaABAg,0
"Top 5 episodes, seriously?",Ugw4omLyDanOPLoLcal4AaABAg,0
This guy sounds like ChatGpt wrote him 😂,Ugw51cgeH4_RBy1X59p4AaABAg,0
I'm not a Republican,Ugw3CuKlX3_73EtWlR14AaABAg,2
It’s amazing how Jcals opinion or feelings towards Tucker have changed.,UgzHsCmtoV8HjZmR8Gt4AaABAg,2
"These woke, sorry “red pill” takers, are going to hand over our country to someone with no values that doesn’t believe in our constitution or the rule of law. All far some petty political preferences.",UgymrvNABqjfVsB1pzN4AaABAg,0
"Hi, Is there any chance that you`re looking for a video editor to create valuable content and for your YouTube Shorts?",UgydXniYMACoBvmp5pt4AaABAg,2
Jcal is killing it lately lol🤣,Ugx73tX6n83euk6x7Yh4AaABAg,1
"😊sacks is 100% right, there’s so many beeps I literally don’t know what’s being said",Ugz9yE4LyISXBzl6VI14AaABAg,2
I wanted to mention Ben Franklins take on to much wealth.  His observations while in Europe with the wealthy was it was mostly detrimental. Which influenced His philosophy which was roughly:  once you have enough to support your family securely you should allocate most of your energy towards beneficial activities in society.  Which seems to have been acted out in his life.  I really enjoyed this podcast!,Ugw8pNKWJcFOi5-Ilht4AaABAg,2
I love you JCAL!!,UgzvVc4p2tn9oUx7LrZ4AaABAg,1
Tucker’s laugh ❤😂,Ugyp770cXGCJnEtkX1d4AaABAg,2
"Regarding Starlink, it's the Israel lobby. Just admit it. They have more control than Biden.",Ugy8zjSZ1-w1db8a6-V4AaABAg,2
"Sacks is so freaking objective, and I always LOVE to hear his opinion. Would love to work for this guy! Would also vote for him if there was a chance to do so!",UgxG1WYj1JNqqkXFHzB4AaABAg,1
The military complex is manipulating the USA population.,UgwitYFC_z8cF4Hl6UF4AaABAg,0
"I would love to see Friedberg being intellectually compative, at times!   He's too polite",Ugxu0668ytsydh_Hg-B4AaABAg,2
Brah - I saw videos on youtube of “parents” crying in Sandy H and those same people were being interviewed in other “attacks”. He might be right to some extent,UgwK9p8POvI_yVvlYOV4AaABAg,2
Great show,UgwNhDAUsnxDqzthDaR4AaABAg,1
"🤣🤣🤣As Elon tells the advert bribers to go F themselves, Tucker drops his line of advertisement for Perrier! how can anyone miss this one! 🤣🤣🤣",UgwZkCIiKTos7LkD02B4AaABAg,2
"Deep-thinking, respectful, intelligent conversations- what the world needs MORE of.",Ugwg5qCdWoHfgLupKel4AaABAg,1
"Tucker looks soooooooo healthy. Look at that tan, that glow!! Man looks good! Compared to all the others, Tucker looked really good, by far. Tells you something. Body reflects intellect, Tucker looked healthy and attractive.",UgyEO2uS-lukzUyAk3t4AaABAg,2
So good,Ugzq_KbIBCGj8z_O6gV4AaABAg,1
"14:19 the nation making Trans people an issue was only because Republicans and Tucker while on Fox made it one. Same goes for women’s rights and gay rights. Countries acting in their self interest means people within those countries will want to act in their self interest too. So I’m not following what Tucker is on about especially because ranting about Trans rights is exactly what he’s been crying about all these years. If hes now saying he was idiot back then, then we may have found something he and I agree on.",UgzDwGg39CZLBdytB_h4AaABAg,2
Hatred in one owns soul,UgxafwdJC6jfT_01PDF4AaABAg,2
This was great! Best pod episode ever.,UgxJtqh4kpnLbkpivtR4AaABAg,1
"These rich people trying to destroy the system that made them rich is not because they feel guilty, but because they are greedy... destruction of the system will create more wealth for them and prevent them from losing that wealth and at the same time prevent others from having the ability to create new wealth. They are trying to do this for more power, more wealth and complete control.",UgzCwcIUMlTwapPVpLV4AaABAg,0
Vivek makes 1000000% more sense than Nikki Haley,UgyEgsw_ANaGppM56Kh4AaABAg,2
"I agree with the point about Amazon and not paying the App Store fees, but I think the real reason you can’t buy books from within the Amazon kindle app is because then it would make actual kindles obsolete",UgxultkW_tA4U6aPkvp4AaABAg,2
Love this ❤ Thank you all!!,UgzLOBX1IV7XuNphyJt4AaABAg,1
"At the time of the EV summit, the Biden administration openly said that Tesla was not invited because they were nonunion. It’s in the Daily Press conference from that time. That fact was not hidden, why are you claiming it was hidden?",UgzH9TyBkP31L9iQpTN4AaABAg,0
What about a show where you analyse your own carbon footprints ?,UgzGHftB-4FTNHqs_4J4AaABAg,0
Friedbergs point on religion is such a great point when it comes to the right to free speech 1:04:34,Ugylb92i0jgJfZ8Zz_Z4AaABAg,1
Morgan freeman said it best…”racism will cease to exist when we stop talking about it “,UgydgfaDzeZIq9Nac9x4AaABAg,2
"2024 is the year the chickens come home to roost in America no matter which war criminal becomes president, just look how many innocent lives are being destroyed around the world by American weapons.",UgwqA1RUHDB-R1IPqj94AaABAg,2
1996 or 1997? laws were changed to allow pharmaceuticals to advertise on television.  How did that turn out?,UgwaCe1bhhan6vHG2-J4AaABAg,2
"Friedburg needs some more calories, he's misremembering Fight Club. Meatloaf's character wasn't on estrogen therapy. He was a former bodybuilder that heavily abused Steroids, ""they give that stuff to horses,"" leaving his endocrine system deficient to signal normal testosterone production, leaving his estrogen abnormally high in ratio, leading to man breasts, a common side effect. Meatloaf's breasts were obviously exaggerated tho.",Ugw4IC_R7Qc-O9COQPt4AaABAg,2
This was great and Tucker is a rare treasure,UgxlYLAlZKnNk86IpkV4AaABAg,1
hahahhaha,UgyYRZ0SlUigg_OzfsV4AaABAg,2
"Without Jason the show becomes a circle jirk. People hate on him but he keeps the pod interesting, the disputes and debates are the best part.",UgyG-5QsQxMj99jvTYZ4AaABAg,1
Pole shift,Ugz2sswRIifLE1ylQAN4AaABAg,2
"Fulton Sheen talked about the class that becomes so rich, so fast that they feel guilty and ultimately support communism and socialism out of guilt. So  because they reach success so quickly, they end up supporting self destructive behaviors and destructive policies for those around them.",Ugw1w3UquecQs3utyDR4AaABAg,2
"The Urantia Book, Paper 50, Section 5",UgxrFojtLo3rRJJWQFl4AaABAg,2
The hosts on this show are so easily taken in with snake oil BS propaganda like about climate change. Sad statement,UgyZFfN0TLXsb_lyZmV4AaABAg,0
It's late but it's here,UgxNTDlcul01z6D_uCd4AaABAg,2
How can we treat this as a society?,UgzwJ_OhjM6awQZDv094AaABAg,2
This is ludicrous. They talk about prosperity being the problem when 1 in 5 kids in my country are living in POVERTY.  They need to get out in the world.  Stop talking about yourselves and genuinely  understand how luck has played a part in your lives (it explains 42% of entrpreneurial outcomes) as well as effort.  I wruite this as a member of the soi-disant 1%.,Ugx2cbtEiUgmCxB4EzZ4AaABAg,0
"Saw quite a few comments on X wanting more on OpenAI which is big news and understandable but I could not find one podcast that did not try to cover that. Gaming podcasts... podcasts that comment on Nintendo's mobile strategy and Netflix not using TV remotes as input devices commenting on the OpenAI drama. Dialogue and access to some of the most influential people is a very positive use of this platform, particularly when nuance does not exist in the majority of information we consume.",Ugxfj2wBIhkRbfIFqe54AaABAg,2
Guys i was dealing with withdrawl symptoms,UgycN-9mMySnqGk76x14AaABAg,2
"I finally understand how excited my dad was to watch ""The McLaughlin Group"". 😅",UgzEAraMQlHaRaY3V0V4AaABAg,2
Request for Rachel Maddow to come on as well. Great conversation guys,Ugzish3HHDxkP2iicAp4AaABAg,1
"Trucker is a master BS artist. His show was only about division...pointing the finger at the other side. In regard to what it means to be an American and Sacks comment around 1619 vs 1776....the issue is that the ""right"" will not allow that there were issues, and that the country had these issues.... for example, that major Army bases in the US were named after Confederate Generals, celebrating the Confederacy. That major portions of our history are ignored vs understood and used to make us better. Greatest example, the airport in Munich isn't named after Hitler or a Nazi General the way our major military installations were named after traitors to the US. Its the ""white washing"" that is the problem.",Ugx6fZiSOJn14EceeBN4AaABAg,2
"36:00 That FCC Chairwoman, Jessica Rosenworcel, attacking Elon Musk on behalf of the Obiden cabal, is the one hilariously named 'Porker of the Month' by the Citizens Against Government Waste group, for trying to resurrect terrifying net neutrality rules.",UgxIahd0YYAgrKiJikN4AaABAg,2
Have they explained sacks hair in an episode ever? Is he having a midlife crisis?,UgyEm5-wYhM_i_b2rnF4AaABAg,0
"Sacks needs to stop talking about foreign policy, he has no clue.",UgyXgKqpIQU1al8D2sZ4AaABAg,0
"Not Cape Horn, it’s Cape of Good Hope.",UgzJAcXwJTrri169raF4AaABAg,2
"Great interview with Tucker…what the failure of OpenAi board tells us is that Ai will get out of hand, checks and balances will fail!",UgyrEg-zURag1UPVVkB4AaABAg,1
J cal - botox in-between your eyes my boy,UgyGqmIew-eOb_euVsN4AaABAg,2
How to get on podcast?,Ugz-OplpsuGbPkbQ6GB4AaABAg,2
"David Sachs is the only somewhat sane voice on this podcast, it's crazy how these somewhat intelligent men can be so unintelligent when it comes to politics and free speech.",Ugwr4LU1C7bDff6h8dN4AaABAg,0
"So good, well rounded",UgxX0mirY_VM3J7zB994AaABAg,1
Fathers have a responsibility to insure their children are employable and that they are employed.,Ugw59muLLC20oghW1hl4AaABAg,2
"Climate change refers to long-term shifts in temperatures and weather patterns, mainly caused by human activities, especially the burning of fossil fuels.",UgwAQKNrbAC1P2sy6xZ4AaABAg,2
30 January 1933 already showed us how the Trump election is gonna go down.,UgxFJM4OBfS-3H1FVgZ4AaABAg,2
"Truth were spoken by Tucker, thats why‼️",UgyKLbMlc2f75Mkg5L14AaABAg,2
So if we are laughing at ideas... Let me throw that one in the hat and we can have a puke inducing laugh attack.,UgwekZhYvKygVNz0ekZ4AaABAg,2
"Jake is such a biased guy, it shows the TDS, wouldn't even weigh in on the Colorado case to not give Trump any sort of help and then recommends podcasts to hear about the issue, dude please",Ugzh0P2xcMUvOMkeG9V4AaABAg,2
"Sacks acts like the Biden Administration was in control of the government, during the election prior to inauguration.... wtf",UgyeVQ0ag8Avevip6Th4AaABAg,0
Some good ideas on the cultural stuff but not climate change.  Weather is way different than climate and frozen mammoths doesn’t mean climate change is not happening.. 😂,Ugxfukxp104dtLqTiG54AaABAg,0
Can we stop conflating Judaism  with Israeli government policies? They are NOT the same thing.  I would think this podcast is sophisticated enough to know the difference.,UgwTJlzlRsdI5BwHhIl4AaABAg,0
"As for who pays the commissions, the BUYER has always paid commissions. The seller does not have the money to pay any commissions until the BUYER brings the funds to the table. Then from the proceeds of the sale, the compensation gets paid. Without a buyer bringing the funds to the table, the seller has no funds to pay any fees at all",UgxoCUh_LW3UBF5KI454AaABAg,2
